"filename", "language", "Java Properties", "Java", "XML", "Batch", "comment", "blank", "total"
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\Usuario.java", "Java", 0, 46, 0, 0, 1, 20, 67
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\Vacina.java", "Java", 0, 52, 0, 0, 1, 7, 60
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\AgendamentoRepository.java", "Java", 0, 22, 0, 0, 0, 8, 30
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\DoencaRepository.java", "Java", 0, 5, 0, 0, 0, 3, 8
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\PacienteRepository.java", "Java", 0, 9, 0, 0, 0, 5, 14
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\UsuarioRepository.java", "Java", 0, 7, 0, 0, 0, 5, 12
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\VacinaRepository.java", "Java", 0, 5, 0, 0, 0, 4, 9
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\AgendamentoService.java", "Java", 0, 108, 0, 0, 9, 33, 150
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\AuthService.java", "Java", 0, 21, 0, 0, 2, 9, 32
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\DoencaService.java", "Java", 0, 40, 0, 0, 0, 12, 52
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\PacienteService.java", "Java", 0, 72, 0, 0, 9, 18, 99
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\UsuarioService.java", "Java", 0, 74, 0, 0, 10, 22, 106
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\VacinaService.java", "Java", 0, 62, 0, 0, 6, 15, 83
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\resources\application.properties", "Java Properties", 7, 0, 0, 0, 0, 2, 9
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\test\java\com\vacinacao\agvacinacao\AgvacinacaoApplicationTests.java", "Java", 0, 9, 0, 0, 0, 5, 14
"Total", "-", 10, 1684, 78, 108, 116, 543, 2539
